N,L,alpha,n_realizations,sdrg_mean_s,sdrg_std_s,gnn_mean_s,gnn_std_s,gnn_over_sdrg
20,200,2.0,50,0.0009752116797244525,0.00013918606988993728,0.012205850859972998,0.0028923416781868024,12.516104055913049
40,400,2.0,50,0.007157535800142795,7.882099871116258e-05,0.07668614831985905,0.0008518542989606248,10.714043277063196
60,600,2.0,50,0.02408067166004912,5.9901995015395945e-05,0.2627529001199218,0.010844434602078793,10.911360938318023
80,800,2.0,50,0.05757326914004807,0.00018133448129072023,0.6695069808798871,0.05162159131178073,11.628781739860885
100,1000,2.0,50,0.11500481240000227,0.0038461410098593854,1.3693268507798348,0.036954674812352484,11.906691747969044
