N,L,alpha,n_realizations,sdrg_time_mean_s,sdrg_time_std_s,gnn_time_mean_s,gnn_time_std_s,gnn_over_sdrg_time,sdrg_peak_memory_mean_mb,sdrg_peak_memory_std_mb,gnn_peak_memory_mean_mb,gnn_peak_memory_std_mb,gnn_over_sdrg_memory
20,200,2.0,50,0.0036352591196191497,0.00010838177470927203,0.027301818298874424,0.0011532506842885065,7.51028122081562,0.02283233642578125,0.002464343091171378,0.0995079231262207,0.006635707439551879,4.35820151168852
40,400,2.0,50,0.028964992540422826,0.0004802355438558318,0.1785037166593247,0.012000738578009894,6.162739949275297,0.12369277954101562,0.006940945317646881,0.4763668251037598,0.003943226218976485,3.851209641107628
60,600,2.0,50,0.11204635161993792,0.01079597563812894,0.6165193366419408,0.04392774125197551,5.502359762084705,0.32277679443359375,0.0,1.2416681480407714,0.000987274233679782,3.8468321436168953
80,800,2.0,50,0.2511113532807212,0.001233290992946062,1.4635190924204653,0.06688848895461114,5.828167756255827,0.6965408325195312,0.0,2.3378678512573243,0.0016536050029012917,3.356397417220719
100,1000,2.0,50,0.5035444666800322,0.00602073469023524,2.966951416679949,0.12036615442727161,5.8921338888731,0.917510986328125,0.0,3.681811637878418,0.0012241640379601166,4.012825669383004
